"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
40,"New Jersey",11,140300,139900,139700,139600,139300,139200,139100,139100,139100,139400,139900,140400,140700,141000,141300,141400,141400,141600,141900,142400,142900,143700,144800,145600,146200,146600,146800,146800,146900,147100,147700,148300,148900,149800,150900,152000,152900,153600,154600,155800,157100,158300,159300,160400,161700,163100,164400,165800,167100,168500,170000,171500,173000,174500,176000,177500,179200,180900,182500,184000,185800,187800,189700,191400,193500,195900,198300,200400,202600,204800,207200,209900,212900,215800,218800,222200,225900,229300,232500,235700,238900,242200,245300,248400,251100,253900,256900,259900,262900,265700,268400,271200,274100,276900,279600,282400,285500,288900,292700,296600,300500,304400,308400,312600,316700,320300,324000,327800,331800,335700,339700,343400,346600,349500,352700,355900,358500,360300,362000,363800,365600,367000,367600,367600,367500,367300,366800,365800,364600,363900,363400,363000,362500,362000,360900,359300,357500,355800,354200,352900,351400,349700,347800,345700,343200,340300,337300,334400,331700,329200,326500,323300,320800,319800,318700,316500,314100,311600,309100,307100,305400,304300,303300,302500,301400,299800,298300,297300,295900,294600,293600,292800,291200,289200,287600,286300,284800,283300,281800,280000,278200,276500,275100,273700,272100,270300,268700,267000,265300,264100,263300,262700,262400,262700,262800,262900,263300,263800,264100,264500,265400,266000,266100,266600,267300,267800,268400,269500,270700,272000,272900,273700,274400,274900,275300,275900,276800,278000,279000,279500,279900,280000,279800,279600,279800,280200,280200,280200,281000,282100,282900,283700,284500,285000,285600,286300,286800,287100,287800,289000,290400,291200,291700,292500,293700,295100,297200,299400,300800,301800,303200,304400,304300,304300,305400,307100,308300
56,"Virginia",12,111600,112200,112600,112800,112900,112700,112800,113100,113300,113500,114000,114400,114300,114300,114500,114500,114600,114900,115200,115600,115800,116200,116800,117200,117300,117500,117600,117600,117600,118000,118400,118600,119000,119600,120100,120500,120800,121300,121900,122400,122800,123300,123900,124500,125100,125900,126800,127800,128400,129000,129600,130300,131000,131700,132300,132900,133700,134700,135600,136500,137700,138700,139600,140700,141700,142500,143200,144200,145300,146400,147400,148500,149700,150900,152000,153300,154600,155900,157100,158300,159700,161100,162600,163900,165200,166500,168000,169700,171400,173200,175100,177100,179300,181600,184000,186400,189000,191900,195200,198600,202100,206200,210500,214500,218100,221700,225600,229500,233300,237100,240900,244800,248500,251800,254700,257700,259600,260600,261600,262800,264100,265100,265800,266400,266800,266700,266500,266500,266400,266500,266800,267200,267200,267200,266800,266000,264800,263900,263000,261900,260300,258500,256500,254500,252300,250000,247600,245200,243000,240900,238800,236500,234500,233000,231700,230300,228900,227500,226100,224800,223900,223000,222100,221200,221300,221900,221900,221200,220800,220100,219100,218200,217300,216500,215900,215300,214700,214100,213200,212100,211400,211200,211100,210900,210600,210200,209700,209400,209300,209100,209100,209300,209500,209600,210100,210800,211200,211400,211900,212600,212900,213100,213700,214800,215800,216800,217900,219100,220000,220600,221100,221600,222100,222500,222800,223200,223700,224200,224800,225300,225500,225900,226700,227400,227400,227500,228200,228700,228900,229200,229800,230300,230800,231300,231700,232000,232400,232700,232800,233100,233700,234200,234700,235200,236000,237100,238400,239600,240600,241400,242200,243200,244200,244800,245100,245400,245900
59,"Washington",13,134400,134800,135100,135100,135200,135400,135900,136300,136800,137600,138500,139100,139700,140400,141300,142100,142900,143600,144300,145000,145900,146700,147500,148000,148600,149200,149900,150900,152000,152700,153000,153600,154600,155600,156500,157000,157500,158200,158900,159500,159900,160700,161700,162700,163500,164300,165200,166300,167300,167900,168500,169100,169900,170500,171000,171300,171800,172400,173300,174200,175100,175800,176300,176900,177500,178100,178900,179700,180200,180800,181800,182600,183000,183400,183900,184500,185000,185600,186400,187500,188700,189800,190600,191400,192300,193100,194000,194800,195800,196800,198000,199200,200600,202000,203400,205100,206800,208900,211300,213700,215900,218200,220600,222900,225300,227900,230600,233500,236900,240600,244300,248100,252200,256200,260100,263800,267300,270500,273400,276200,279400,282400,285200,287900,290200,292100,294200,296200,297700,298800,300100,301100,301700,302100,302600,302700,302700,302500,301800,300700,299200,297500,295700,294000,292300,290400,288100,286000,284400,282800,280200,277000,274400,272900,271400,268800,265800,263100,260600,258500,256700,255100,254000,253100,252300,251700,251000,250100,249200,248000,246200,244300,242100,239900,237900,236300,234600,232600,230600,229300,228000,226400,225000,224000,222800,221400,220000,219500,219500,219100,218500,218500,218700,219000,219800,220600,221300,222300,224000,225500,227000,228600,230100,231300,233000,235100,237300,239500,241400,243000,244300,245200,245900,246900,248000,248900,249500,250500,251800,253300,255000,256900,258500,260100,261500,262500,264000,266300,268800,271200,273700,276000,278300,280600,282500,284400,286400,288900,292400,295900,299100,301800,304000,305900,308300,311300,314700,317700,320200,322200,324400,326900,330100,334100,337500,340000,342000
26,"Massachusetts",14,137300,137700,138000,138200,138500,138900,139300,139800,140600,141500,142500,143300,144000,144500,145200,145900,146200,146600,147100,147900,149000,150300,151600,152500,153500,154500,155400,156400,157700,158800,159900,161000,162100,163300,164900,166700,168400,170200,172100,173900,175700,177500,179500,181600,183600,185800,188100,190400,192900,195700,198800,201800,204800,207600,210600,213700,216500,219400,222400,225600,228600,231500,234300,237200,240200,243400,246100,248600,251000,253200,255500,258000,260600,263200,266000,269100,272400,275900,279100,282400,286000,289500,292300,294800,297100,299100,301100,303200,305300,307200,309300,311400,313200,315100,317600,320100,322800,325700,328600,331300,333900,336300,338700,341100,343400,345700,348300,350700,352800,354300,355500,356200,356700,357100,357400,357600,357200,356300,355300,354700,354000,352700,350700,348800,346800,344800,342900,341500,339800,338300,337800,337700,336900,335600,334000,332600,331600,330600,329500,328300,326800,324900,322300,319100,315800,313300,311100,309400,308200,306700,305000,303000,300600,298400,296900,295200,293600,292600,292400,292600,292900,293300,293700,293500,295400,298500,299500,299100,299700,300200,300400,299700,298000,296300,294800,293600,292600,291300,290500,290500,290600,290000,289400,288800,287900,287000,286300,285800,285400,285000,284300,283800,284300,285200,285600,285800,286200,286700,287500,288900,289900,290500,292000,294500,297100,299800,302400,304600,306800,308700,310200,311700,312600,313300,314300,314700,314700,315300,316400,317300,318900,320700,322200,323600,325100,326100,327500,329000,330100,330700,331700,333300,335200,337000,338600,340200,341800,343300,344500,345700,347100,348700,350400,352100,353900,356600,359300,361700,363600,365500,367800,370300,372100,373900,375500,377300,378800
22,"Indiana",15,72100,74200,75200,75400,75200,75200,75400,75600,75700,76300,77500,78500,78500,78400,78700,79300,80000,80800,81500,82300,83000,83400,83500,83600,83600,83700,83900,84200,84500,84800,85100,85500,85600,85300,85500,85900,86100,86400,86800,87300,87400,87400,87600,88000,88000,87900,88400,88900,89100,89400,89800,90000,90300,90600,90800,90900,92600,95700,97700,98500,99400,100000,100500,100900,101500,101900,102000,102100,102200,102200,102200,102300,102200,101900,101800,101900,102000,102000,101800,101700,101400,101400,101500,101500,101600,102000,102200,102400,103000,103800,104900,105800,106600,107200,107800,108500,109100,109700,110600,111600,112800,113900,114700,115200,115600,116000,116600,116900,117400,118000,118800,119500,119700,119600,119400,119600,119500,118900,118000,117800,117600,117300,117100,116900,116600,116700,117200,117800,117800,117000,116600,117000,117400,117400,117200,117100,117200,117000,116700,116700,116900,117300,117600,117800,118100,118100,118100,117900,117300,116600,116000,115400,114800,114300,113900,113500,112800,112100,111500,111000,110800,110800,110800,110600,110900,112000,112600,112300,112200,112500,112900,112800,112500,112600,112700,112500,112300,112100,111600,111200,110700,110500,110300,110000,109800,109600,109400,109300,108700,108100,108100,108300,108300,108300,108100,108200,108600,109100,109200,109400,109800,110100,110200,110400,110800,110800,110700,111200,111700,111700,111700,111700,111600,111400,111400,111800,112200,112500,112900,113300,113600,113800,114100,114300,114600,114900,115400,115800,116200,116700,117200,117300,117300,117500,117700,117900,117800,117200,116800,116800,116900,116900,117000,117300,117500,117700,118100,118600,119200,119900,120400,120500,120700,121000,121400,121700,121700
8,"Arizona",16,103600,103900,104100,104400,104600,104900,105100,105400,105700,106300,106900,107200,107400,107600,108000,108300,108700,109300,109700,110000,110400,111100,111900,112300,112600,113000,113800,114500,114800,114900,115300,115800,116200,116600,116800,117300,118000,118400,118600,118800,119300,119900,120400,121100,122000,122900,124000,125100,125900,126600,127200,127600,128300,129000,129500,129900,130500,131100,131600,132200,132600,132800,133000,133300,133500,133600,134100,134900,135600,136200,136900,137500,138300,139100,139700,140300,141100,141800,142500,143300,144100,145000,145900,146700,147400,148200,149100,149900,150600,151400,152100,153000,154100,155200,156300,157700,158900,160200,162000,164200,166900,170400,174300,178200,182400,186800,191400,196900,203700,211300,219400,227500,234900,241100,246600,251300,254800,257300,259500,261000,261600,261800,261700,261200,260500,259600,258500,257500,256300,255100,253800,252400,251000,249500,247300,245200,243400,241900,239900,237500,234500,231100,227400,223500,219700,216200,212800,209400,206100,202900,199900,196300,194300,194100,193400,191000,188500,185600,182200,179000,176200,173500,170800,168500,165500,162000,159600,158500,157400,156300,155300,153900,151900,149600,148000,146700,145400,143900,142600,141500,139900,138000,136100,134700,133800,133500,133500,133800,134800,136000,137400,138600,140300,142700,145400,148200,150700,152800,154300,155900,157500,159000,160700,162700,164800,166900,169300,171900,174100,176100,178000,179600,181000,182200,182700,182800,183200,183900,184000,184000,184400,185200,186200,187200,188200,189100,189900,190800,191800,192700,193500,194700,196300,197900,199400,200800,202100,203100,204200,205400,206600,207600,209200,210600,211800,213300,215100,216800,218300,219400,220100,220800,221400,222300,223600,224800,225600
53,"Tennessee",17,70300,70700,71000,71400,71600,72000,72100,72400,72700,73100,73600,74100,74400,74700,75100,75500,75900,76200,76700,77300,77800,78400,78900,79400,79800,80400,80800,81200,81600,82100,82600,82900,83100,83400,84000,84200,84200,84400,84600,84700,84900,85100,85300,85300,85500,85800,86200,86700,86900,87200,87500,87800,87900,88100,88300,88600,88900,89200,89500,89800,90200,90400,90500,90700,90800,90800,91000,91200,91400,91500,91700,91900,92100,92300,92400,92700,93100,93300,93400,93800,94300,94500,94800,95200,95700,95900,96200,96600,97100,97500,97900,98100,98500,98800,99200,99400,99600,100000,100600,101000,101400,102000,102600,103100,103400,103800,104500,105000,105600,106400,107200,108000,108700,109600,110400,111300,112100,112600,113000,113600,114300,114800,115300,115800,116400,117100,117700,118200,118700,118900,119200,119600,120000,120300,120400,120600,120900,121000,121100,121100,120800,120500,120200,120000,119800,119700,119600,119500,119200,118800,118300,117800,117800,118600,119400,119700,119600,119400,119300,119100,119100,119000,118900,118800,119200,119600,119700,119400,119300,119200,119000,118800,118500,118300,118100,117900,117500,117100,116700,116500,116200,116100,116100,116100,115900,115600,115500,115600,115600,115300,115000,114800,114900,115200,115400,115700,116000,116300,116400,116700,116900,117000,117300,117600,117800,118000,118200,118300,118600,119000,119200,119400,119600,119800,120000,120600,121200,121700,122100,122400,122600,122700,122800,122900,122900,123000,123300,123700,124100,124400,124800,125300,125800,126600,127700,128400,128800,129000,129300,129900,130500,131100,131600,132200,133000,134100,135200,136400,137400,138200,138900,139600,140600,141600,142600,143500,144400
32,"Missouri",18,80700,81400,82000,82600,83300,83700,83700,83600,84200,85500,86700,87600,88000,88200,88900,89500,90000,90400,91000,91300,91700,92100,92600,93200,93600,94100,94300,94400,94600,94700,94800,95400,96100,96700,97500,98200,98600,99100,100000,101200,102200,102600,102800,103000,103800,104900,105800,106700,107500,108000,108600,109700,110700,111200,111800,112800,113600,114100,114800,115600,116200,117000,117900,118300,118300,118800,119600,120400,121000,121600,122200,122700,123400,124200,124700,124700,125100,126300,127800,128300,127800,127900,128900,130000,130800,131600,132100,132800,133800,134700,135600,136800,137700,137500,136500,135900,135700,136000,136500,137100,137700,138300,138800,139400,140300,141600,142600,143500,144200,144300,144300,144800,145300,145500,145600,145900,146800,147800,148500,148600,148900,149400,150000,150400,150900,151300,151700,151800,151700,151600,151500,151900,152600,153200,152900,152400,151800,151100,150000,149000,148500,148400,148400,148100,147800,147700,147500,147000,146400,146100,146000,145700,145600,145600,145500,144900,144100,143200,142500,142000,141700,141500,141500,141800,140500,138000,136400,136200,135800,135400,135000,134500,133800,132800,131800,130900,130600,130500,130200,129600,128800,128000,127500,127000,126400,125700,124800,123800,123200,122700,122300,122000,121900,121500,121300,121300,121400,121300,121400,121700,122100,122400,122600,122600,122400,122600,122900,123100,123300,123500,123700,123800,124000,124300,124600,124700,124800,125000,125200,125300,125500,125800,126200,126400,126900,127400,127600,127700,127900,128000,128300,128700,129000,129400,130000,130500,130900,131500,132100,132700,133500,134400,135200,136000,136700,137400,138100,138800,139400,139900,140100,140200,140600,140800,140800,140900,141200
27,"Maryland",19,127000,126900,126600,126400,126200,126100,126100,126200,126400,126700,127100,127300,127200,127300,127300,127200,127100,127000,127100,127100,127200,127600,128200,128700,128900,128900,128900,128800,128900,129200,129400,129700,129900,130300,130800,131300,131900,132200,132400,132800,133400,134000,134400,134800,135400,136300,137000,137700,138300,139000,139700,140400,141000,141300,141900,142600,143500,144500,145600,146500,147700,148800,149900,150800,151700,152800,154100,155300,156400,157600,159000,160600,162100,163500,165200,167100,169100,170800,172600,174800,177200,179300,181200,183300,185300,187400,189600,191900,194300,196900,199500,202100,204800,207700,210700,213600,216800,220500,224700,229100,233500,238200,242800,247200,251700,256400,260900,265400,270100,275200,280400,285200,290200,295300,300000,304000,307100,309600,312100,314800,317000,318700,320100,321600,322400,322400,322400,322700,322700,322500,322500,322800,323100,322900,322000,320600,318800,316800,314900,313000,310300,307100,303900,301200,298300,295100,291500,288300,285500,282600,279900,277100,274000,271300,269200,267000,264700,262600,260100,257500,255500,254200,253000,251700,252300,253800,253700,252100,251200,250200,249000,247600,246100,244700,243300,241700,240000,238400,236700,234900,233000,231400,230300,229500,228600,227500,226100,225300,224500,223900,223600,223800,223600,223800,224600,225800,226700,227800,229000,230000,230800,231600,232900,234100,235000,235900,236700,237300,238100,238800,239300,239700,240200,240500,240900,241800,243000,244400,245900,247200,247900,248000,248100,248500,248500,248100,248300,249300,250000,250800,251900,253200,253900,254300,254800,255500,256200,256400,256400,257200,258900,260300,260900,261200,261900,263300,265400,267300,268700,269500,270200,270400,270400,270300,270400,271300,272400
60,"Wisconsin",20,,,,,,,,,,,,,,,,,99000,99700,100900,102200,102700,102700,102700,102800,103000,103700,104600,105400,105900,106300,106800,107300,107600,108000,108300,109200,110600,111800,112400,112900,113000,112900,113000,113300,113400,113600,114100,114900,115500,115900,115900,116000,116900,118200,119000,119600,120200,120700,121300,122200,123000,123700,124000,124100,124700,125300,125300,125500,126200,126800,127500,127700,127700,127900,128700,129800,130700,131100,131900,132600,133100,133600,134300,135000,135800,136700,137500,138100,138500,138900,139400,140200,140500,140400,140200,140600,141000,141500,142200,143200,143900,144500,145200,146100,147000,147800,148300,148700,149300,150200,151300,152300,153400,154400,154900,155100,155500,156100,156800,157300,157200,156900,156600,156300,156100,156300,156700,156900,157000,157300,157300,157700,158700,159400,159000,158700,158600,158200,157900,157800,157900,157900,157800,157600,157300,156900,156600,156100,155600,155000,154600,154100,154400,155600,156600,156500,156100,155700,155800,156000,156000,155900,155900,155900,154300,151800,150600,150500,150100,149600,149400,149000,148400,147900,147500,147300,147000,146700,146200,145500,144800,144400,144000,143500,143100,142900,142500,142200,142300,142300,141800,141400,141400,141400,141300,141200,141200,141100,141100,141100,141200,141600,141700,141800,142000,142500,143000,143300,143500,143700,144000,144100,144100,144100,144000,144300,144600,144800,145000,145400,145800,146000,146100,146300,146700,147300,147700,148000,148400,148800,149200,149700,150200,150900,151500,151800,152200,152900,153500,153900,154400,155100,155900,156500,157500,158500,159200,159900,160900,161900,163100,164200,165200,165800,166300,166800,167300
31,"Minnesota",21,95700,96200,96200,96200,96200,96200,96200,96300,96600,97300,98200,98900,99400,99900,100200,100600,100900,101400,101900,102500,103200,103900,104900,105800,106400,106700,107100,107500,108300,109000,109700,110500,111600,112500,113600,114800,115700,116500,117700,119200,120600,121800,123000,124300,125500,126600,127500,128500,129800,131100,132500,133900,135300,136800,138300,139400,140600,142100,143400,144800,146500,148100,149500,150700,151800,153100,154200,155100,156200,157400,158400,159300,160300,161600,163000,164400,165800,167200,168500,169700,170600,171600,173100,174600,175800,177000,178100,179100,180100,181100,182200,183300,184400,185500,186400,187100,188000,189100,190500,192100,193500,194500,195600,196900,198300,199400,200600,201900,203100,204000,204700,205600,206300,207000,207800,208500,208900,209300,209700,210100,210600,210800,210500,210000,209500,209200,209200,209000,208800,208600,208300,207700,207000,206200,205100,204000,203100,202500,201700,200700,199700,198500,197000,195300,193400,191600,189900,188500,187100,185500,183700,182100,181600,182400,183000,182300,181400,180500,179600,178500,177600,176900,176300,175900,173800,170100,167500,166900,166500,166200,165800,165200,164100,162700,161300,160400,159900,159400,158300,156400,154600,153500,152900,152100,151300,150600,150100,149200,148500,148100,148400,149100,150200,150900,151300,152100,153400,154600,155700,156700,157600,158800,160200,161300,162200,162900,164000,165200,166300,167000,167800,168700,169800,170600,171200,171800,172300,172900,173500,174200,175000,175600,175900,176200,176800,177500,178100,178600,179100,179900,180800,181700,182300,183400,184600,185600,186600,187700,188700,189700,190900,192100,193200,194500,195800,197200,198500,200000,201800,203500,204500,205700,207500,208800,209200,209900,210800
10,"Colorado",22,128100,128400,128700,128900,129300,129800,130300,130800,131200,131800,132600,133200,133600,134000,134600,135200,135800,136400,137200,137900,138700,139700,140500,141000,141500,141800,142200,142800,143400,144000,144600,145400,146400,147600,148900,150400,152000,153600,155100,156700,158200,159500,160900,162500,163900,165200,166900,168500,170000,171900,173600,175000,176600,178300,180000,181600,183200,184800,186500,188200,189700,191100,192400,193600,194800,195800,196400,197000,197800,198300,198600,199100,199900,200700,201300,202100,202900,203500,203900,204400,204900,205400,205900,206100,206200,206300,206500,206600,206900,207400,208200,208800,209300,209900,210400,210900,211400,211800,212200,212600,212900,213400,214000,214700,215300,216200,217200,218200,218800,219200,219600,220200,220800,221500,222000,222700,223200,223700,224100,224500,225000,225400,225600,225900,226100,226200,226300,226700,226900,226700,226400,226600,226700,226900,227300,227600,227500,227500,227400,227200,226200,224500,223000,222200,221600,221300,221200,221000,220800,220000,218900,217700,216400,215100,214300,213800,213000,212300,211700,211200,211000,211000,211100,210700,212400,215900,217700,217100,216800,215900,215000,214300,213800,213300,212900,212500,211800,210600,209900,209700,209300,208800,208400,207900,207400,207100,207000,206800,206900,207200,207500,208100,209200,210700,211900,212700,213800,215200,216300,217400,218600,219400,220500,222000,223500,225400,227400,229300,230700,231900,233100,234500,235400,236100,237400,239000,240500,242100,243900,245800,247800,250000,252300,254900,257200,259200,261800,264800,267700,270600,273700,276800,280000,283000,286000,288900,291400,293400,295500,298200,300800,303000,305200,307800,310600,313700,316900,319700,321800,323700,325500,327600,329800,332400,334600,336400,337900
4,"Alabama",23,79500,79200,79500,79700,79700,79700,80100,80600,80800,80700,80900,81300,81300,80900,80900,81100,81400,81700,81800,81900,82400,82900,83400,84000,84500,84700,84800,85100,85500,85700,85900,86200,86700,87000,87500,88000,88700,89400,90000,90200,90300,90400,90600,90800,90800,90900,91000,90900,91200,91700,92000,92200,92600,92800,92600,92600,92800,93000,93100,93400,93800,94300,94700,94700,94600,94800,95100,95500,96000,96600,96900,96800,96500,96400,96700,97000,97000,97000,97200,97400,97500,97900,98700,99200,99300,99200,98900,99100,99800,100700,101400,101900,102200,102300,102200,102300,102900,103800,104800,105800,106800,107900,108800,109700,110500,111400,112100,113600,115500,116800,117200,117800,118500,119100,119700,120600,121700,122900,123900,124300,124600,125000,125500,125900,126100,126200,126300,126500,127000,127600,128000,127900,127800,127900,128300,128700,129200,129500,129500,129200,129000,128700,128400,127900,127800,127800,128500,129000,128700,128000,127700,127200,127800,130000,132300,133400,133900,134000,133700,133100,132400,132100,132300,133200,130300,124800,121400,121200,120500,119800,118900,118400,118100,117800,117300,116900,117200,117900,117900,117200,117000,116700,116400,115900,116400,117500,117900,117300,117100,117600,117800,117500,117400,117500,117400,117300,117200,116600,116200,116000,116100,116300,116400,116400,116300,116400,116500,116600,116600,116500,116500,116700,117300,117800,118000,117900,117800,117600,117600,117800,117900,117700,117700,118100,118300,118600,118900,119000,119200,119500,119800,120200,120300,120500,120600,120600,121000,121500,121700,121800,122100,122200,122300,122600,122700,122800,123000,123500,124100,125100,125600,125900,126200,126500,126600,126700,126900
51,"South Carolina",24,80000,80000,80100,80000,79800,79700,79800,80100,80400,80900,81200,81400,81800,82000,82200,82700,83500,83900,84000,84300,84600,84900,85300,85800,86100,86400,86700,87300,88000,88600,89100,89500,89800,90200,90900,91500,92100,92600,92900,93400,94000,94300,94600,95100,95600,96200,96800,97200,97800,98700,99300,99700,99900,100200,100700,101100,101500,101600,101600,101800,102000,102300,102500,102700,102900,103600,104100,104300,104500,104800,105000,105300,105600,105900,106300,106500,106600,106900,107500,108000,108100,108400,108800,109300,109500,109900,110300,110900,111300,111500,111700,112100,112600,112900,113300,113900,114600,115200,115700,116400,117100,117800,118400,119200,120300,121400,122300,123100,124000,124900,125700,126400,127200,128100,129100,130100,131000,131600,132200,132800,133300,133800,134300,135000,135800,136400,136900,137400,137800,138000,137900,137700,137500,137600,137500,137200,137000,136800,136300,135700,134900,134100,133600,133200,132900,132400,132100,131800,131400,130900,130600,130100,130400,131900,133600,134300,134500,134500,134400,134100,133800,133500,133200,133000,132400,131300,130300,129800,129300,129000,128800,128500,128100,127700,127400,127000,126500,126000,125600,125100,124700,124200,123500,122800,122600,122400,122200,122000,122100,122000,121500,120700,120600,120900,121000,120700,120600,120900,121200,121100,121400,121800,122000,121900,122300,122700,123000,122900,122800,123100,123600,123800,124200,124900,125000,124400,124500,125100,125400,125300,125500,125800,126300,127000,126000,123900,122700,123100,123800,124600,124600,126900,128900,128000,126700,127700,128500,128800,130800,134700,135000,133600,135500,137800,138100,139300,140500,141100,141800,143000,144000,144300,144600,145200,145400,145200,145000
24,"Kentucky",25,74300,75100,76200,77300,78300,79000,79500,79700,79900,80100,80400,80400,80300,80400,80700,80900,81100,81400,81800,82400,82800,83400,84100,84700,85100,85400,85700,86100,86500,86900,87100,87300,87500,88000,88600,89000,89400,89700,89900,90100,90300,90500,90800,91100,91400,91900,92500,93000,93400,93800,94000,94200,94700,95000,95200,95400,95900,96300,96500,96900,97400,97900,98400,98900,99300,99400,99500,99600,99900,100400,100800,101000,101200,101500,101800,102100,102300,102500,102900,103400,103700,103900,104000,104100,104300,104600,104900,105000,105100,105500,105800,106200,106800,107400,107900,108500,109100,109500,109800,110200,110800,111200,111800,112300,112600,112800,113100,113200,113300,113700,114000,114100,114400,114800,115100,115300,115400,115400,115200,115200,115500,115700,115800,115900,115900,116100,116200,116300,116500,116500,116500,116300,116000,115900,116000,116100,116000,115800,115800,116000,116100,115900,115600,115700,116000,116200,116100,116000,116100,116300,116400,116000,116100,117500,119300,120200,120400,120400,120400,120700,121200,121600,121600,121600,120700,119200,118300,118300,118200,118200,118000,117800,117400,117100,117000,117200,117500,117500,117200,117000,116700,116600,116600,116800,116900,116700,116500,116600,116800,116900,116900,116800,116900,116800,116800,117000,117100,117000,117100,117200,117300,117300,117400,117500,117600,117700,118000,118200,118100,118000,118100,118100,118200,118300,118500,118500,118600,119100,119500,119600,119500,119600,119900,120100,120600,120900,121100,121400,121900,122400,122500,122700,123200,123900,124300,124700,125200,125800,126300,126800,127300,127900,128400,128900,129500,130400,131200,131700,132300,133100,133700,133700,133800,134100,134600,135300,135800
46,"Oregon",26,124500,125200,125700,126200,126900,127600,128200,129000,129700,130300,131000,131500,132000,132400,132900,133500,134000,134700,135400,136200,137000,137900,138500,139100,139500,139800,139800,139900,140300,140700,140800,141100,141500,141600,142000,142600,143000,143100,143500,144000,144200,144400,144700,145100,145200,145500,146100,146700,147100,147600,148300,148800,149100,149200,149200,149500,149900,150700,151500,152200,152600,153000,153400,153700,153900,154300,154700,155100,155700,156500,157200,158000,158700,159200,159700,160300,161000,161800,162500,163200,164100,165100,166000,166600,167400,168300,169100,170000,170800,171800,173200,174500,175800,176900,177900,179000,180400,182000,183600,185400,187300,189300,191400,193600,195600,197600,200000,202500,205200,208400,212100,215900,220000,224300,228300,232100,235700,238900,241900,245000,248200,251000,253400,255700,257800,259300,260200,261100,262100,262900,263800,264800,265400,265600,265600,265300,264600,263800,262800,261700,260400,259000,257500,256000,254400,252700,251200,249600,248000,246000,243800,241000,239300,238900,238400,236500,234600,232800,230900,229000,227700,226500,225500,225000,223900,222000,220100,218900,217700,216100,214000,211800,209700,208000,206600,205900,205000,203700,202100,200600,198600,197000,196000,195300,194400,193700,193300,193000,192700,192200,191900,192300,193000,193600,194200,194800,195700,196800,197900,198600,198900,199800,201500,203700,206100,208600,211300,213800,216000,217500,218500,219800,221600,223500,224800,225800,226700,227900,229000,230200,231500,232900,234300,235600,236700,237900,239400,240900,243100,245600,248300,250800,253600,256400,259200,261600,264000,266600,269300,272100,274900,277800,280900,284000,287100,290300,293100,295700,298200,300500,302800,304900,306900,309000,311100,312900,314400
